,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,,,,,
2023-03-13,244.01512378576322,254.38133800249287,242.36797414966546,250.4459228515625,33339700,146.495128579555,151.77771647257012,146.38610649834635,149.1314697265625,84457100
2023-03-14,253.23718999570187,257.4980917115578,252.3593674269289,257.221923828125,33620300,149.934260737341,152.03539706221633,148.76476489554864,151.23260498046875,73695900
2023-03-15,256.42302986650344,262.83409850139134,255.6635455488037,261.8083190917969,46028000,149.8450679963741,151.88674052270053,148.586361246658,151.62905883789062,77167900
2023-03-16,261.58142474678226,272.77614162435196,259.67783796593795,272.42108154296875,54768800,150.80646037730506,155.06821263966182,150.29108181642482,154.46363830566406,76161100
2023-03-17,274.4528971827675,279.4535073114165,272.53943756981755,275.60687255859375,69527400,154.69157989251337,155.34571244010942,152.90758890954837,153.62118530273438,98944600
2023-03-20,273.1904128378011,273.6835719142719,266.1579595913203,268.5054016113281,43466600,153.69058715899433,156.41612462417007,152.77875768053804,155.99984741210938,73641400
2023-03-21,271.1191050234136,271.2374583710604,265.8324247282345,270.0341491699219,34558700,155.9205571770909,157.98204109629864,155.14748180357108,157.8631134033203,73938300
2023-03-22,269.6594045264148,277.19489043228054,268.45609505296665,268.5646057128906,34873300,157.88295021864405,160.6976833752444,156.40619906612653,156.426025390625,75701800
2023-03-23,274.137282393425,277.21459035555193,271.4347801625903,273.8611145019531,36610900,157.41711872342182,160.11292398786247,156.2773395529773,157.51622009277344,67622100
2023-03-24,273.446836403508,276.7904694060669,271.5136612424645,276.7312927246094,28172000,157.44685878169065,158.91368918214428,156.4458486981132,158.82449340820312,59196500
2023-03-27,276.66222806583613,277.60908501730165,271.7503530737867,272.5986022949219,26840200,158.51724627438185,159.3398647729009,156.46565282812585,156.87200927734375,52390300
2023-03-28,272.0166912251704,272.36190859794345,268.32784087331277,271.46435546875,21878600,156.56476504075383,157.0801435690118,154.59246181824673,156.2476043701172,45992200
2023-03-29,275.1433079190786,277.29350440292745,274.6008449662974,276.672119140625,25087000,157.95231889750627,159.6173823169816,157.9325076961592,159.33987426757812,51305700
2023-03-30,280.3411953822254,280.56802927390424,277.6288206944652,280.16363525390625,25053400,160.09307680442691,161.02471726864817,159.83539513002484,160.9156951904297,49501700
2023-03-31,279.84804837782394,285.31222903893445,279.12802532101676,284.3554992675781,32766000,160.99502723627342,163.53225249160582,160.4697430290236,163.43313598632812,68749800
2023-04-03,282.5998329031126,284.325889466506,280.0650184260436,283.3001403808594,24883300,162.80872590475465,164.81074592730272,162.75916765957112,164.6918182373047,56976200
2023-04-04,283.30015793950093,286.47610341698794,281.7615041156291,283.2508239746094,25824300,165.1180039760234,165.35585936030904,163.6412529320187,164.15663146972656,46278300
2023-04-05,281.9390264319253,283.22122788337555,279.0491217097848,280.4496765136719,22064800,163.27456173694304,163.58180171406576,160.36071207007467,162.3032684326172,51511700
2023-04-06,279.3351286127617,288.0837649660351,278.1712805290201,287.6103515625,29770300,160.98510790466275,163.4926163777719,160.55894019900367,163.19528198242188,45390100
2023-04-10,285.2530733958761,285.6377519354261,280.8146415705329,285.4306335449219,23103000,159.98409444358578,160.5886688232422,158.6560179778013,160.5886688232422,47716900
2023-04-11,281.84045082891004,282.0673148711929,277.7866971127785,278.96038818359375,27276600,160.90579790302047,160.91570350226053,159.08215439834586,159.3695831298828,47644200
